Reference in main table, Cite, doi
Adrain Chatterton 1990, Adrain J. Chatterton B. (1990). Odontopleura (Trilobita Silurian) and a method of constrained congruency analysis. Journal of Paleontology 64(4) 600-614, https://doi.org/10.1017/S0022336000042645
Adrain Chatterton 1995, Adrain J. M. Brian D. E. Chatterton. (1995). The Otarionine Trilobites Harpidella Maurotarion with Species from Northwestern Canada the United States Australia. Journal of Paleontology 69(2) 307-326, http://www.jstor.org/stable/1306261
Adrain Kloc 1997, Adrain J.M. Kloc G.J. (1997). Lower Devonian aulacopleuroidean trilobites from Oklahoma. Journal of Paleontology 71 703 - 712, https://www.jstor.org/stable/1306587
Alberti 1983, Alberti G. K. B. (1983). Trilobiten des jüngeren Siluriums sowie des Unterund Mittel-Devons IV. Senckenbergiana lethaea 64, 
Baldis et al. 1976, Baldis B.A. Benedetto L. Blasco G. Martel M.E. (1976). Trilobites Siluro-Devonico de la Sierra de Zapla (Nordeste de Argentina). Ameghiniana 13 185-225, 
Bao Jago 2000, Bao J.-S. Jago J.B. (2000). Late Late Cambrian Trilobites From Near Birch Inlet South-Western Tasmania. Palaeontology 43: 881-917, https://doi.org/10.1111/1475-4983.00154
Basse 2003, Basse. M. (2003). Eifel-Trilobiten 2. Phacopida 1. Goldschneck-VerlagKorb 198 p., 
Basse Müller 2000, Basse M. Müller P. (2000). Trilobiten aus mittlerem Devon des Rhenohercynikums: IV. Illaenula struvei n. sp. aus Wissenbach-Schiefern der Dill-Mulde. Senckenbergiana lethaea 79 441-457, 
Becker et al. 2017, Becker M. A. Chamberlain R. B. Maisch H. M. Bartholomew A. Chamberlain J. A. (2017). Trilobites from the Rickard Hill facies of the Saugerties Member of the Schoharie Formation eastern New York (upper Emsian and Lower Devonian): a case study in taphonomy and sequence stratigraphy from glacial erratics. Atlantic Geoscience 53 269-284, https://doi.org/10.4138/atlgeol.2017.011
Benedetto 1977, Benedetto J.L. (1977) Una nueva fauna de trilobites tremadociandos de la provincia de Jujuy (sierra de Cajas) Argentina. Ameghiniana XIV(1-4) 186-214, 
Benedetto et al. 2009, Benedetto J.L. Vaccari N.E. Waisfeld B.G. S nchez T.M. Foglia R. (2009). Cambrian Ordovician biogeography of the South American margin of Gondwana accreted terranes, https://doi.org/10.1144/sp325.11
Branisa 1965, Branisa L. (1965). Los fósiles guias de Bolivia: I Paleozoico. Boletin del Servicio Geológico de Bolivia 1-282, 
Brauckmann Brauckmann 1986 , Brauckmann C. Brauckmann B. (1986). Famennian trilobites: an outline on their stratigraphical importance. Annales de la société géologique de Belgique 109 9-17, https://popups.uliege.be/0037-9395/index.php?id=2364.
Budil et al. 2007, Budil P. H örbinger F. Mencl R. (2007). Lower Devonian dalmanitid trilobites of the Prague Basin (Czech Republic). Earth Environmental Science Transactions of the Royal Society of Edinburgh 99(2) 61-100, https://doi.org/10.1017/S1755691009006161
Bultynck Walliser 2000, Bultynck P. Walliser O.H. (2000). Devonian Boundaries in the Moroccan Anti-Atlas. Courier Forschungsinstitut Senckenberg 225 211-226, 
Burton Eldredge 1974, Burton C.J. Eldredge N. (1974). Two new subspecies of Phacops rana (Trilobita) from the Middle Devonian of north-west Africa. Palaeontology 17 349-363, 
Campbell 1977, Campbell K.S.W. 1977. Trilobites of the Haragan Bois dïArc Frisco Formations (Early Devonian) Arbuckle Mountains Region Oklahoma. Oklahoma Geological Survey Bulletin 123 1-227, 
Chatterton Ludvigsen 2004, Chatterton B.D.E. Ludvigsen R. (1976). Silicified Middle Ordovician trilobites from the south Nahanni Riverarea District of Mackenzie Canada. Palaeontographica Abteilung A 154 pp. 1-106, 
Chatterton Perry 1983, Chatterton B.D.E. Perry D.G. (1983). Silicified Silurian odontopleurid trilobites from the Mackenzie Mountains. Palaeontographica Canadiana No. 1 pp. 1-127, 
Chatterton et al. 1979, Chatterton B.D.E. Johnson B.D. Campbell K.S.W. (1979). Silicified Lower Devonian trlobites from New South Wales. Palaeontology 22(4) 104-111, 
Chatterton et al. 2006, Chatterton B.D.E. Fortey R. Brett K. Gibb S. McKellar R. (2006). Trilobites from the upper Lower to Middle Devonian Timrhanrhart Formation Jbel Gara el Zguilma souther Morocco. Palaeontographica Canadiana No. 25 pp. 1-177, 
Chlupac 1977, Chlupac I. (1977). The phacopid trilobites of the Silurian and Devonian of Czechoslovakia. Rozpravy £stredniho £stavu geologického 43 1-172, 
Chlupac 1982, Chlupac I. (1982). The Bohemian Lower Devonian stages. Cour.Forsch.-Inst. Senckenberg 55 345-400, 
Corbacho Kier 2013, Corbacho J. Kier C. (2013). Diversidad y distribución de  Acanthopyge (Belenopyge) (Lichidae) en Marruecos Devónico inferior y medio. Batalleria 18 3-14, 
Crônier 1999, Crônier C. (1999). Modalités d'évolution phylétique sous contrôle du milleu chez quelques phacopinés (trilobites) néodévoniens. GEOBIOS 32(2) 187-192, https://doi.org/10.1016/S0016-6995(99)80031-X 
Crônier Feist 2000, Crônier C. Feist R. (2000). Evolution et systématique du groupe Cryphops (Phacopinae Trilobita) du Dévonien supérieur. Senckenbergiana lethaea 79 501-515, https://doi.org/10.1007/BF03043651
Crônier Tsmeyrek 2010, Crônier C. Tsmeyrek H.S. (2010). First record of the Devonian phacopid trilobite Plagiolaria from Uzbekistan. Memoirs of the Association of Australasian Palaeontologists 39 43-50, 
Crônier et al. 2013, Crônier C. Malti F. François A. Benyoucef M. Brice D. (2013). First occurrence of a phacopid trilobite faunule from the Upper Devonian of Saoura Valley Algeria biodiversity fluctuations. Geological Magazine 150(6) 1002-1021, https://doi.org/10.1017/S0016756813000277
Crônier et al. 2015, Crônier C. Budil P. Fatka O. Laibl L. (2015). Intraspecific bimodal variability in eye lenses of two Devonian trilobites. Paleobiology 41(4) 554-569, https://doi.org/10.1017/pab.2015.29
Crônier et al. 2016, Crônier C. Abbache A. Khaldi A. Oudot M. Maillet S. Ouali Mehadji A. (2016). Middle Devonian trilobites of the Saoura Valley Algeria: Insights into their biodiversity Moroccan affinities. Geological Magazine 155(4) 811-840, https://doi.org/10.1017/S001675681600100X
Crônier et al. 2020, Crônier C. AriuntogoS M. K önigshof P. Waters J. Carmichael S.K. (2020). Late Devonian (Famennian) phacopid trilobites from western Mongolia. Palaeobiodiversity and Palaeoenvironments 101 707-723, https://doi.org/10.1007/s12549-020-00449-w
Delo 1935, Delo D.M. (1935). A revision of the phacopid trilobites. Journal of Paleontology 9 402-420, https://www.jstor.org/stable/1298148
Delo 1940, Delo D.M.(1940). Phacopid trilobites of North America: Special Paper of the Geological Society of America v.29 vii + 135 p, https://doi.org/10.1130/SPE29-p1
Ebach MacNamara 2002, Ebach M.C. MacNamara K.J. (2002). A systematic revision of the family Harpetidae (Trilobita). Records of the Western Australian Museum (21) 235-267, https://doi.org/10.18195/issn.0312-3162.21(3).2002.235-267
Ebbestad 1999, Ebbestad JO.R. (1999). Trilobites of the Tremadoc Bjørkåsholmen Formation in the Oslo Region Norway. Fossils Strata No. 47 pp. l-ll8. Oslo, 
Edgecombe Ramsk öld 1994, Edgecombe G.D. Ramsk öld L. (1994). Earliest Devonian phacopide trilobites from central Bolivia. Paläont. Z. 68 397-410, https://doi.org/10.1007/BF02991351
Edgecombre Wright 2004, Edgecombe G. D. Wright A. J. (2004). Silicified early devonian trilobites from Brogans Creek New South Wales. Proceedings of the Linnean Society of New South Wales 124 177-188, https://doi.org/10.1080/03115518608619159
Eldredge Branisa 1980, Eldredge N. Branisa L. (1980). Calmoniid trilobites of the Lower Devonian Scaphiocoelia zone of Bolivia with remarks on related species. Bulletin of the AMNH 165 article 2 pp. 1-235, https://doi.org/10.1016/S0016-6995(94)80257-2
Eldregde 1972, Eldredge N. (1972). Morphology Relationships of Bouleia Kozlowski 1923 (Trilobita Calmoniidae). Journal of Paleontology 46(1) 140-151, http://www.jstor.org/stable/1302924
Eldregde 1973, Eldredge. N. (1973). Systematics of Lower and lower Middle Devonian species of the trilobite Phacops Emmerich in North America. Bulletin of the American Museum of Natural History 151 285-338, http://hdl.handle.net/2246/599
Esteban Tortello 2007, Esteban S.B. Tortello M.F. (2007). Latest Cambrian Sedimentary Settings Trilobite Faunas from the Western Cordillera Oriental Argentina. Memoirs of the Association of Australasian Palaeontologists 431, 
Esteban Tortello 2009, Esteban S.B. Tortello M.F. (2009). Sedimentologia y paleontologia de la Formación Santa Rosita (Miembros Tilcara y Casa Colorada C mbrico Tardio) en la región de Iruya provincia de Salta. Acta geológica lilloana 21 (2) 129-153, 
Feist 2019, Feist R. (2019). Post-Kellwasser event recovery and diversification of phacopid trilobites in the early Famennian (Late Devonian). Bulletin of Geosciences 94 1-22, https://doi.org/10.3140/bull.geosci.1727
Feist Schindler 1994, Feist R. Schindler E. (1994). Trilobites during the Frasnian Kellwasser crisis in European Late Devonian cephalopod limestones. Cour. Forsch.-Inst. Senckenberg 169 195-223, 
Feist Lerosey-Aubril 2005, Feist R. Lerosey-Aubril R. (2005). The type species of Cyrtosymbole the oldest (Famennian) cyrtosymboline trilobites. Acta Palaeontologica Polonica 50 (3) 465-475, 
Feist Lerosey-Aubril 2010, Feist R. Lerosey-Aubril R. Johnson R. (2010). Coaptative devices enrollment life habits in Paralejurus a particular case in scutelluid trilobites. Palaeobio Palaeoenv 90 125-137, https://doi.org/10.1007/s12549-010-0025-1
Feist McNamara 2013, Feist R. Mcnamara K.J. (2013) Patterns of evolution extinction in proetid trilobites during the late Devonian mass extinction event Canning Basin Western Australia. Palaeontology 56 229-259, https://doi.org/10.1111/j.1475-4983.2012.01191.x
Feist Chatterton 2015, Feist R. Chatterton B.D.E. (2015). Kolihapeltine trilobites the spiniest scutelluids from the eastern Anti-Atlas (Morocco Early Devonian): evolution environment classification.  Papers in Palaeontology 1 3 255-287, https://doi.org/10.1002/spp2.1015
Feist Klapper 2022, Feist R. Klapper G. (2022). Phacopid trilobites in post-Taghanic Givetian through Frasnian cephalopod limestones Montagne Noire (France) and related areas (Thuringia Morocco). Bulletin of Geosciences 97 1-32, https://doi.org/10.3140/bull.geosci.1834
Feist et al. 2000, Feist R. Lemke U. Korn D. (2000). Trilobiten aus der Wocklumeria-Stufe des h öchsten Oberdevon von Apricke Sauerland. Senckenbergiana lethaea 79(2) 517-539, https://doi.org/10.1007/BF03043652
Feist et al. 2001, Feist R. Talent J.A. Mawson R. (2001) Devonian trilobites from the Shogrām Formation Kurāgh Chitral (NW Pakistan) Alcheringa: An Australasian Journal of Palaeontology 25:1 107-115, https://doi.org/10.1080/03115510108619216
Feist et al. 2009, Feist R. Mcnamara K. Crônier C. Lerosey-Aubril R. (2009). Patterns of extinction recovery of phacopid trilobites during the Frasnian-Famennian (Late Devonian) mass extinction event Canning Basin Western Australia. Geological Magazine 146(1) 12-33, https://doi.org/10.1017/S0016756808005335
Feist et al. 2016, Feist R. Mahboubi A. Girard C. (2016). New Late Devonian phacopid trilobites from Marhouma SW Algerian Sahara. Bulletin of Geosciences 91 243-259, https://doi.org/10.3140/bull.geosci.1600
Feist et al. 2020, Feist R. Cornee J.-J. Corradini C. Hartenfels S. Aretz M. Girard C. (2020). The Devonian-Carboniferous boundary in the stratotype area (SE Montagne Noire France). Palaeodiversity and Palaeoenvironments 101 295-311, https://doi.org/10.1007/s12549-019-00402-6
Fortey Owens 1991, Fortey R. Owens R. (1991). A trilobite fauna from the highest Shineton Shales in Shropshire the correlation of the latest Tremadoc. Geological Magazine 128(5) 437-464, https://doi.org/10.1017/S0016756800018616
Franke 2010, Franke Ch. (Hrsg.) (2010). Beiträge zur Paläontologie des Unterdevons Luxemburgs (2). Ferrantia 58 Musée national d'histoire naturelle Luxembourg 80 p, 
Ghobadi Pour et al. 2011, Ghobadi Pour M. McCobb L. Owens R. Popov L. (2010). Late Ordovician trilobites from the Karagach Formation of the western Tarbagatai Range Kazakhstan. Earth Environmental Science Transactions of the Royal Society of Edinburgh 101(2) 161-187, https://doi.org/10.1017/S1755691010010078
Gibb Chatterton 2007, Gibb S. Chatterton B.D. (2007). Timsaloproetus new genus (Proetida: Trilobita) included species from lower middle Devonian strata of Southern Morocco. Journal of Paleontology 81(2) 352-367, https://doi.org/10.1666/0022-3360(2007)81[352:TNGPTA]2.0.CO;2
Gibb Chatterton 2010, Gibb S. Chatterton B.D.E. (2010). Gerastos (Order Proetida; Class Trilobita) from the Lower to Middle Devonian of the southern Moroccan Anti-Atlas region. Palaeontographica Canadiana 30 1:89, 
Grahn 2005, Grahn Y. (2005). Devonian chitinozoan biozones of Western Gondwana. Acta Geologica Polonica 55 211-227, 
Harrington Leanza 1957, Harrington H.J. Leanza A.F. (1957). Ordovician trilobites of Argentina. Department of Geology University of Kansas Special Publication 1 276 pp, 
Holloway 2005, Holloway D.J. (2005). The trilobite genera Eocryphops and Plagiolaria (Phacopidae). Paläontologische Zeitschrift 79 227-239, https://doi.org/10.1007/bf02990186
Holloway Lane 2012, Holloway D.J. Lane P.D. (2012) Scutelluid trilobites from the Silurian of New South Wales. Palaeontology 55: 413-490, https://doi.org/10.1111/j.1475-4983.2012.01132.x
Hughes Chapman 1995, Hughes N.C. Chapman R.E. (1995) Growth variation in the Silurian proetide trilobite Aulacopleura konincki and its implications for trilobite palaeobiology. Lethaia 28: 333-353, https://doi.org/10.1111/j.1502-3931.1995.tb01824.x
Johnson Fortey 2012, Johnson R. Fortey R. (2012). Proetid Trilobites From the Lower Devonian (Pragian) Ihandar Formation Anti-Atlas Morocco. Journal of Paleontology 86(6) 1032-1050, https://doi.org/10.1666/12-021R.1
KU Collection, Kansas University Invertebrate Paleontology Collection, https://biodiversity.ku.edu/invertebrate-paleontology/collection-search 
Kaneko 1990, Kaneko A. (1990). A new trilobite genus Rhinophacops. Transactions and proceedings of the Paleontological Society of Japan. New series 1990 360-365, 
Lane Ormiston 1973, Lane H. R. Ormiston A.R. (1973). Biostratigraphy of the Salmontrout Limestone East-Central Alaska. Geol. Soe. Am. Abstraets 5 330 pp., https://www.jstor.org/stable/1303222
Lesperance 1975, Lespérance P. (1975). Stratigraphy paleontology ofthe Synphoriidae (Lower Middle Devonian dal-manitacean trilobites). Journal of Paleontology49 91-137, https://www.jstor.org/stable/1303318
Lesperance Bourque 1971, Lespérance P. Bourque P.A. (1971). The Synphoriinae: an evolutionary pattern of Lower MiddleDevonian trilobites. Journal of Paleontology 45 182-208, https://www.jstor.org/stable/1302635
